k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.00) G1(z=2.00) G1(z=3.00) 
0.610083 1.79041440256 1.79794177476 1.75442963168 1.62357649397 1.50854168794 
0.620024 1.80965800586 1.80623709679 1.7708339449 1.6220830074 1.50891778041 
0.629958 1.80130619271 1.81547328914 1.76283060342 1.63159918581 1.5179536021 
0.640077 1.81009325605 1.81667818376 1.77286840554 1.64121648722 1.52868773569 
0.650017 1.81373890093 1.83019470658 1.78434321794 1.64518699929 1.52881083912 
0.659905 1.82218568419 1.82043334712 1.78469219228 1.65935383663 1.5383153889 
0.669906 1.82041906282 1.82674352681 1.7959901671 1.66431695457 1.54567388051 
0.680035 1.82790700163 1.83654550825 1.80249072831 1.67245304697 1.54693152353 
0.690038 1.81890406044 1.83645964091 1.80188923199 1.68114223689 1.55619381169 
0.699992 1.82559587636 1.84000848405 1.81210679468 1.68591697748 1.56547060959 
0.710052 1.81662980082 1.84160199418 1.82779465987 1.6973523534 1.56667244628 
0.719968 1.83523801725 1.84681354798 1.83432146084 1.69435559051 1.56653251557 
0.729958 1.81978513366 1.8500583482 1.83862828112 1.71015772574 1.57606345418 
0.740093 1.82396651425 1.86378398541 1.8487880779 1.71579431489 1.5819788649 
0.75004 1.82473845667 1.85188420769 1.8532186137 1.72770374998 1.59056533271 
0.759941 1.81729029362 1.86414556221 1.85768131552 1.72605313631 1.59462562498 
0.769961 1.82293139566 1.87186489412 1.86504210156 1.73307856054 1.5971056065 
0.780084 1.81721198328 1.87129707839 1.87778027431 1.74196272747 1.60562814084 
0.790111 1.8377916959 1.87795603117 1.86856066683 1.74524518183 1.61075076721 
0.799975 1.82378989566 1.87226939078 1.88090389629 1.75459758394 1.62116627767 
0.809993 1.81921081509 1.8839175809 1.88464867509 1.76507645381 1.623859049 
0.820129 1.80940814046 1.89087643312 1.88136442869 1.77210340742 1.6346898769 
0.830105 1.81913480408 1.89159284866 1.89631562769 1.77569755926 1.63826369114 
0.840072 1.8144536707 1.88555426573 1.88886490252 1.78619943263 1.64287776781 
0.850086 1.83686272718 1.87772094332 1.90279848919 1.78927881459 1.64754494152 
0.86004 1.81128320364 1.89016076043 1.9114882666 1.79800639889 1.64929490224 
0.869954 1.81429405563 1.89045685608 1.91302349721 1.80031213727 1.66133506148 
0.879952 1.81370082057 1.88101205627 1.92267666861 1.81055438216 1.66712204934 
0.890005 1.80773372003 1.90322722084 1.91309775233 1.81868112496 1.66830951806 
0.899963 1.80527623928 1.88451690336 1.92768785219 1.82159186666 1.67697701038 
0.909992 1.80677490705 1.89333072163 1.93240786657 1.83385032511 1.68130720611 
0.920118 1.80375260048 1.88967559595 1.9360724868 1.83576633168 1.68876391725 
0.930107 1.78953133125 1.8917719691 1.94062681326 1.84505739619 1.68798447235 
0.94006 1.78330090054 1.89820739611 1.93721268737 1.8513307151 1.7009551331 
0.950045 1.78685983705 1.90000343271 1.94577098431 1.85362768737 1.70707318951 
0.960026 1.77803439056 1.89647009744 1.95345220813 1.86155018658 1.70660347716 
0.970042 1.77849963954 1.88773620025 1.95949449311 1.86991548746 1.71406007253 
0.979951 1.78327969723 1.89972540391 1.95874183241 1.87141214772 1.72066693356 
0.989966 1.77605162763 1.89479852497 1.95693603639 1.87361870951 1.73073827506 
0.999986 1.76722697644 1.89866164981 1.96091833032 1.8814847341 1.73569972698 
1.00994 1.77708572165 1.89339682874 1.96811283038 1.89349849636 1.74350847043 
1.02005 1.76486765846 1.89281128117 1.9754641895 1.89775744317 1.74029562122 
1.0301 1.76113415677 1.87990276072 1.97429277046 1.91043933696 1.74573247114 
1.04002 1.76249203408 1.88651836537 1.98100125402 1.91079519106 1.7498748047 
1.04999 1.74610225967 1.8944944507 1.9835304653 1.91508440007 1.7587501331 
1.06004 1.73013434659 1.89423174889 1.97987803217 1.9223567077 1.76577809868 
1.0701 1.75160450157 1.88505355668 1.98741809172 1.92608984511 1.76876333395 
1.08007 1.74693536421 1.87990540706 1.99355262117 1.92946754677 1.77555708501 
1.08999 1.73447058547 1.88949605039 1.98622619855 1.94033545655 1.78209002225 
1.09996 1.73032639334 1.88713456405 1.99649698739 1.93623137023 1.78153583577 
1.10995 1.7204341269 1.88995028358 1.99814412847 1.94132919585 1.79090422104 
1.11998 1.73083996656 1.88523215972 2.00168824657 1.94911954665 1.79645566275 
1.13004 1.72013062427 1.8859514472 1.99548237993 1.96241362162 1.80289926385 
1.14007 1.71333240488 1.87641286283 2.0020678722 1.96398053192 1.80624698973 
1.15001 1.69727887668 1.8805293606 2.00384925414 1.96845201841 1.81336323801 
1.15998 1.70340689284 1.88455016062 2.00492733529 1.97067794309 1.82106357956 
1.17005 1.70996352996 1.87105969684 2.00623465342 1.97786584342 1.8248049525 
1.18004 1.70030391713 1.86583634968 2.01014550487 1.98426173177 1.82780772025 
1.19 1.68367994983 1.86839912345 2.00964037818 1.99393304643 1.83378767984 
1.20002 1.68136568636 1.8642790281 2.01624697734 1.9936850258 1.8375191232 
1.21003 1.69179857869 1.85729393856 2.01581223711 2.00069565983 1.84601295502 
1.21999 1.67653953838 1.8669576824 2.01897550645 1.99990530321 1.8512805216 
1.23001 1.67613472629 1.86413529711 2.02001610386 2.00380625709 1.84899602954 
1.24001 1.67015738184 1.86925188512 2.01141278654 2.01466694375 1.85809823639 
1.24996 1.64804097517 1.86640276175 2.01936024496 2.01486646233 1.8628764108 
1.25997 1.65411441831 1.86547302536 2.01248782107 2.02599572307 1.86964993246 
1.27007 1.64867240749 1.85857107535 2.02161028255 2.02817288597 1.87481613156 
1.28011 1.64288969287 1.84134219019 2.02597246344 2.03047708057 1.88241453403 
1.29005 1.64286885041 1.84828522855 2.01846847842 2.03742133692 1.88304324538 
1.29999 1.62335499384 1.85037206201 2.01886359026 2.0464933472 1.88805465242 
1.31 1.63465588678 1.83564474447 2.02179190147 2.05256884199 1.88868861715 
1.32006 1.62273404075 1.84257366142 2.01911220828 2.0495278641 1.89827317148 
1.3301 1.62245821424 1.82888452255 2.02474775521 2.055521023 1.90107031476 
1.34003 1.61753004265 1.85587102437 2.01914841674 2.06034458057 1.90382780914 
